Date,Adj_Close,Ticker,Market
2015-09-09,163.2664337158203,SPY,US
2015-09-10,164.1549530029297,SPY,US
2015-09-11,164.9009246826172,SPY,US
2015-09-14,164.2890625,SPY,US
2015-09-15,166.34262084960938,SPY,US
2015-09-16,167.78419494628906,SPY,US
2015-09-17,167.40707397460938,SPY,US
2015-09-18,164.67132568359375,SPY,US
2015-09-21,165.52232360839844,SPY,US
2015-09-22,163.3738555908203,SPY,US
2015-09-23,163.11268615722656,SPY,US
2015-09-24,162.52288818359375,SPY,US
2015-09-25,162.4807586669922,SPY,US
2015-09-28,158.4029541015625,SPY,US
2015-09-29,158.49562072753906,SPY,US
2015-09-30,161.45291137695312,SPY,US
2015-10-01,161.87416076660156,SPY,US
2015-10-02,164.29229736328125,SPY,US
2015-10-05,167.21580505371094,SPY,US
2015-10-06,166.642822265625,SPY,US
2015-10-07,168.0077362060547,SPY,US
2015-10-08,169.5242462158203,SPY,US
2015-10-09,169.62545776367188,SPY,US
2015-10-12,169.78550720214844,SPY,US
2015-10-13,168.71548461914062,SPY,US
2015-10-14,167.90664672851562,SPY,US
2015-10-15,170.4847869873047,SPY,US
2015-10-16,171.25991821289062,SPY,US
2015-10-19,171.34413146972656,SPY,US
2015-10-20,171.12506103515625,SPY,US
2015-10-21,170.06349182128906,SPY,US
2015-10-22,172.93649291992188,SPY,US
2015-10-23,174.83213806152344,SPY,US
2015-10-26,174.4025115966797,SPY,US
2015-10-27,174.0654754638672,SPY,US
2015-10-28,176.04539489746094,SPY,US
2015-10-29,175.94432067871094,SPY,US
2015-10-30,175.1860809326172,SPY,US
2015-11-02,177.25865173339844,SPY,US
2015-11-03,177.7725830078125,SPY,US
2015-11-04,177.2333526611328,SPY,US
2015-11-05,177.0564727783203,SPY,US
2015-11-06,176.96377563476562,SPY,US
2015-11-09,175.31243896484375,SPY,US
2015-11-10,175.71685791015625,SPY,US
2015-11-11,175.02597045898438,SPY,US
2015-11-12,172.5826873779297,SPY,US
2015-11-13,170.6448516845703,SPY,US
2015-11-16,173.23985290527344,SPY,US
2015-11-17,173.11343383789062,SPY,US
2015-11-18,175.86007690429688,SPY,US
2015-11-19,175.7084197998047,SPY,US
2015-11-20,176.34873962402344,SPY,US
2015-11-23,176.14657592773438,SPY,US
2015-11-24,176.38238525390625,SPY,US
2015-11-25,176.35719299316406,SPY,US
2015-11-27,176.55934143066406,SPY,US
2015-11-30,175.82630920410156,SPY,US
2015-12-01,177.50294494628906,SPY,US
2015-12-02,175.69158935546875,SPY,US
2015-12-03,173.23141479492188,SPY,US
2015-12-04,176.60992431640625,SPY,US
2015-12-07,175.53993225097656,SPY,US
2015-12-08,174.36033630371094,SPY,US
2015-12-09,173.00392150878906,SPY,US
2015-12-10,173.450439453125,SPY,US
2015-12-11,170.08877563476562,SPY,US
2015-12-14,170.9481201171875,SPY,US
2015-12-15,172.7427215576172,SPY,US
2015-12-16,175.27023315429688,SPY,US
2015-12-17,172.59951782226562,SPY,US
2015-12-18,169.524658203125,SPY,US
2015-12-21,170.92306518554688,SPY,US
2015-12-22,172.47402954101562,SPY,US
2015-12-23,174.60986328125,SPY,US
2015-12-24,174.32171630859375,SPY,US
